iter	Passed	Remaining
928	1609	123
929	1610	121
930	1611	119
931	1612	117
932	1613	115
933	1614	114
934	1615	112
935	1616	110
936	1617	108
937	1618	106
938	1619	105
939	1620	103
940	1621	101
941	1622	99
942	1623	98
943	1624	96
944	1625	94
945	1626	92
946	1627	91
947	1628	89
948	1629	87
949	1630	85
950	1631	84
951	1632	82
952	1633	80
953	1634	78
954	1635	77
955	1637	75
956	1638	73
957	1639	71
958	1639	70
959	1640	68
960	1641	66
961	1642	64
962	1643	63
963	1644	61
964	1645	59
965	1646	57
966	1647	56
967	1648	54
968	1649	52
969	1650	51
970	1651	49
971	1652	47
972	1653	45
973	1654	44
974	1655	42
975	1656	40
976	1657	39
977	1658	37
978	1659	35
979	1659	33
980	1660	32
981	1661	30
982	1662	28
983	1663	27
984	1664	25
985	1665	23
986	1666	21
987	1667	20
988	1668	18
989	1669	16
990	1670	15
991	1671	13
992	1672	11
993	1673	10
994	1674	8
995	1675	6
996	1676	5
997	1676	3
998	1677	1
999	1678	0
